[ 2013-11-22T16:28:44+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015335s ]
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000665s ]
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000633s ]
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000446s ]
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000785s ]
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002809s ]
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000679s ]
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000778s ]
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001028s ]
[ 2013-11-22T16:28:44+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001151s ]
[ 2013-11-22T16:28:44+08:00 ] / | NOTIC: [2] include(D:\work\hezong.com\hezong.com/includes/lib_common.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory baseAction.class.php 第 22 行.
[ 2013-11-22T16:28:44+08:00 ] / | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'D:\work\hezong.com\hezong.com/includes/lib_common.php' for inclusion (include_path='.;D:\install\xampp\php\PEAR') baseAction.class.php 第 22 行.
[ 2013-11-22T16:28:44+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_article` [ RunTime:0.003779s ]
[ 2013-11-22T16:28:44+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_article_data` [ RunTime:0.003083s ]
[ 2013-11-22T16:28:44+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_link` [ RunTime:0.003386s ]
[ 2013-11-22T16:28:44+08:00 ] / | SQL: SELECT `id`,`catid`,`name`,`url`,`exten_catid` FROM `cms_link` WHERE status=1 ORDER BY sort desc,id desc  [ RunTime:0.000396s ]
[ 2013-11-22T16:28:44+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_setting` [ RunTime:0.002977s ]
[ 2013-11-22T16:28:44+08:00 ] / | SQL: SELECT * FROM `cms_setting`  [ RunTime:0.000367s ]
[ 2013-11-22T16:28:44+08:00 ] / | SQL: SHOW COLUMNS FROM `cms_index_data` [ RunTime:0.003410s ]
