[ 2013-11-22T15:53:44+08:00 ] /admin.php?a=verify&m=verify&rand=1385106824 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003135s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000913s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run CheckLang Behavior [ RunTime:0.001649s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002816s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_admin` [ RunTime:0.003187s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_user` [ RunTime:0.002658s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_user_info` [ RunTime:0.002523s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [2] include(D:\work\hezong.com\hezong.com/includes/lib_common.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory baseAction.class.php 第 36 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'D:\work\hezong.com\hezong.com/includes/lib_common.php' for inclusion (include_path='.;D:\install\xampp\php\PEAR') baseAction.class.php 第 36 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 110 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 42 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_role` [ RunTime:0.003187s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 46 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `cms_role` WHERE id= LIMIT 1   [ RunTime:0.000159s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_group` [ RunTime:0.003816s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `cms_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000400s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 56 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_access` [ RunTime:0.002931s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 62 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: select b.group_id from `cms_access` a,`cms_node` b where a.node_id=b.id and a.role_id=0 and b.id !=177 and b.id !=178 group by b.group_id [ RunTime:0.000435s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_setting` [ RunTime:0.003615s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SELECT * FROM `cms_setting`  [ RunTime:0.000323s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 92 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_admin` [ RunTime:0.003235s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.001306s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.001430s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.017824s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017953s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.000846s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.000814s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000609s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run ShowRuntime Behavior [ RunTime:0.001073s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003653s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_end ] --START--
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run ShowPageTrace Behavior [ RunTime:0.000910s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_end ] --END-- [ RunTime:0.001032s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=verify&m=verify&rand=1385106826 | INFO: Tag[ app_begin ] --START--
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=verify&m=verify&rand=1385106826 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000852s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=verify&m=verify&rand=1385106826 | INFO: Run CheckLang Behavior [ RunTime:0.001767s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=verify&m=verify&rand=1385106826 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002827s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ app_begin ] --START--
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000836s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run CheckLang Behavior [ RunTime:0.001539s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002576s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_admin` [ RunTime:0.003210s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_user` [ RunTime:0.003133s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_user_info` [ RunTime:0.002585s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [2] include(D:\work\hezong.com\hezong.com/includes/lib_common.php) [<a href='function.include'>function.include</a>]: failed to open stream: No such file or directory baseAction.class.php 第 36 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [2] include() [<a href='function.include'>function.include</a>]: Failed opening 'D:\work\hezong.com\hezong.com/includes/lib_common.php' for inclusion (include_path='.;D:\install\xampp\php\PEAR') baseAction.class.php 第 36 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 110 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 42 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_role` [ RunTime:0.003234s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 46 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `cms_role` WHERE id= LIMIT 1   [ RunTime:0.000173s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_group` [ RunTime:0.003062s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SELECT `id`,`title` FROM `cms_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000397s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 56 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_access` [ RunTime:0.002902s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: admin_info baseAction.class.php 第 62 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: select b.group_id from `cms_access` a,`cms_node` b where a.node_id=b.id and a.role_id=0 and b.id !=177 and b.id !=178 group by b.group_id [ RunTime:0.000438s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_setting` [ RunTime:0.002843s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SELECT * FROM `cms_setting`  [ RunTime:0.000280s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 92 行.
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | SQL: SHOW COLUMNS FROM `cms_admin` [ RunTime:0.003155s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_template ] --START--
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.001191s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.001303s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_parse ] --START--
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.011689s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011825s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Tag[ view_filter ] --START--
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.000915s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.000824s ]
[ 2013-11-22T15:53:46+08:00 ] /admin.php?a=login&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000606s ]
